condition	Tidstämpel	Jagförstårattminmedverkanärfrivilligochanonymochattjagharfrih	Angedinkönsidentitet	Ålder	Vilkenärdenhögstaexamenduharavslutat	Angedinsysselsättning	AngeårlighushållsinkomstföreskattSek	Jagharerfarenhetnärdetkommertillfinansiellaprodukter	Jagharerfarenhetavlånochliknandefinansiellaproduktersedantidiga	Jagharenpositivsynpåminegnaekonomiskaprognosfördekommandetioå	Jagserpositivtpåminegnaekonomiskaförutsättningardennärmastet	Jagharenpositivsynpådenekonomiskaprognosenfördekommandetioåre	Jagtrorattflerafaktorerkommerattförbättraekonominpåkortochlå	Jaglitarpåbanker	Jagpåverkasavfamiljochvännernärjagtarfinansiellabeslut	Dinuppfattningomvadsomansesnormaltinomsamhälletpåverkardinaeko	Påverkardinavännerellerkollegorsåsikterdittvalavrådgivareell	Normerfrånsamhälletpåverkardinaekonomiskabeslut	Dinuppfattningomdinförmågaattbetalaavbolånetamorteringpåverk	Dinkänslaavkontrollöverdinekonomiskasituationpåverkardittbesl	Dinupplevdaförmågaatthanterariskerpåverkardittbeslutattinvest	Informationeniwebbannonsenvarinformativ	Informationeniwebbannonsenvartillhjälp	JagskulleviljaköpabolånfrånSvenskaLånebanken	Deninformationsomwebbannonsengavomproduktenvarvärdefull	Deninformationsomwebbannonsengavomhurbolånfungerarvarvärdefull	Jagskulleviljaköpadetbolånsombeskrivsiwebbannonsen	JagskulleviljaköpabolånfrånSvenskaLånebanken_A	Jagskulleförmodligenköpadenhärprodukten	Jagskulleförmodligenrekommenderadennaprodukttillenvän	DetärtroligtattjagköperettbolånfrånSvenskaLånebankennästag
treatment.tsv	2023-03-03 09.09.30	JA	Man	60-69	Kandidatexamen	Pensionär	100.00000 eller mer	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	2.0	3.0	2.0
treatment.tsv	2023-03-03 09.51.21	JA	Man	19-29	Gymnasieutbildning	Student	100.000-200.000	4.0	4.0	7.0	5.0	3.0	4.0	5.0	6.0	5.0	6.0	6.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	3.0	4.0	4.0	4.0	4.0	4.0
treatment.tsv	2023-03-03 11.56.35	JA	Man	19-29	Kandidatexamen	Arbetande	0-100.000	2.0	5.0	6.0	3.0	3.0	1.0	3.0	6.0	6.0	5.0	5.0	7.0	7.0	6.0	3.0	3.0	4.0	1.0	1.0	4.0	4.0	3.0	3.0	1.0
treatment.tsv	2023-03-03 13.07.01	JA	Kvinna	19-29	Gymnasieutbildning	Student	300.000-400.000	3.0	1.0	4.0	4.0	2.0	2.0	5.0	5.0	6.0	4.0	5.0	6.0	6.0	6.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
treatment.tsv	2023-03-03 13.21.01	JA	Man	19-29	Kandidatexamen	Student	100.000-200.000	2.0	2.0	5.0	4.0	3.0	4.0	3.0	2.0	5.0	3.0	5.0	7.0	5.0	6.0	2.0	2.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0
treatment.tsv	2023-03-03 15.22.49	JA	Man	50-59	Gymnasieutbildning	Arbetande	100.00000 eller mer	6.0	6.0	7.0	7.0	5.0	5.0	3.0	1.0	1.0	1.0	1.0	6.0	6.0	4.0	4.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0
treatment.tsv	2023-03-03 15.46.04	JA	Man	19-29	Gymnasieutbildning	Student	0-100.000	3.0	3.0	1.0	3.0	3.0	4.0	2.0	3.0	4.0	4.0	3.0	4.0	7.0	5.0	5.0	3.0	3.0	5.0	4.0	3.0	3.0	3.0	4.0	2.0
treatment.tsv	2023-03-04 02.22.14	JA	Man	19-29	Gymnasieutbildning	Arbetande	400.000-500.000	7.0	4.0	5.0	5.0	3.0	3.0	3.0	2.0	2.0	6.0	5.0	6.0	7.0	6.0	6.0	6.0	5.0	6.0	6.0	3.0	5.0	5.0	5.0	2.0
treatment.tsv	2023-03-04 02.44.46	JA	Kvinna	19-29	Kandidatexamen	Arbetande	0-100.000	7.0	7.0	5.0	5.0	4.0	4.0	4.0	3.0	3.0	6.0	3.0	7.0	7.0	7.0	4.0	4.0	2.0	4.0	2.0	2.0	1.0	1.0	1.0	1.0
treatment.tsv	2023-03-06 10.21.57	JA	Kvinna	19-29	Kandidatexamen	Student	100.000-200.000	3.0	2.0	4.0	6.0	3.0	3.0	2.0	4.0	5.0	7.0	4.0	3.0	5.0	4.0	5.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	2.0	4.0
